"B10","非金属矿采选业","B","ALL,B,B10","STD_GB_4754-2011","行业大小类","0","0",
"B101","土砂石开采","B10","ALL,B,B10,B101","STD_GB_4754-2011","行业大小类","0","0",
"B1011","石灰石、石膏开采","B101","ALL,B,B10,B101,B1011","STD_GB_4754-2011","行业大小类","0","0",
"B1012","建筑装饰用石开采","B101","ALL,B,B10,B101,B1012","STD_GB_4754-2011","行业大小类","0","0",
"B1013","耐火土石开采","B101","ALL,B,B10,B101,B1013","STD_GB_4754-2011","行业大小类","0","0",
"B1019","粘土及其他土砂石开采","B101","ALL,B,B10,B101,B1019","STD_GB_4754-2011","行业大小类","0","0",
"B102","化学矿开采","B10","ALL,B,B10,B102","STD_GB_4754-2011","行业大小类","0","0",
"B1020","化学矿开采","B102","ALL,B,B10,B102,B1020","STD_GB_4754-2011","行业大小类","0","0",
"B103","采盐","B10","ALL,B,B10,B103","STD_GB_4754-2011","行业大小类","0","0",
"B1030","采盐","B103","ALL,B,B10,B103,B1030","STD_GB_4754-2011","行业大小类","0","0",
"B109","石棉及其他非金属矿采选","B10","ALL,B,B10,B109","STD_GB_4754-2011","行业大小类","0","0",
"B1091","石棉、云母矿采选","B109","ALL,B,B10,B109,B1091","STD_GB_4754-2011","行业大小类","0","0",
"B1092","石墨、滑石采选","B109","ALL,B,B10,B109,B1092","STD_GB_4754-2011","行业大小类","0","0",
"B1093","宝石、玉石采选","B109","ALL,B,B10,B109,B1093","STD_GB_4754-2011","行业大小类","0","0",
"B1099","其他未列明非金属矿采选","B109","ALL,B,B10,B109,B1099","STD_GB_4754-2011","行业大小类","0","0",
"B11","开采辅助活动","B","ALL,B,B11","STD_GB_4754-2011","行业大小类","0","0",
"B111","煤炭开采和洗选辅助活动","B11","ALL,B,B11,B111","STD_GB_4754-2011","行业大小类","0","0",
"B1110","煤炭开采和洗选辅助活动","B111","ALL,B,B11,B111,B1110","STD_GB_4754-2011","行业大小类","0","0",
"B112","石油和天然气开采辅助活动","B11","ALL,B,B11,B112","STD_GB_4754-2011","行业大小类","0","0",
"B1120","石油和天然气开采辅助活动","B112","ALL,B,B11,B112,B1120","STD_GB_4754-2011","行业大小类","0","0",
"B119","其他开采辅助活动","B11","ALL,B,B11,B119","STD_GB_4754-2011","行业大小类","0","0",
"B1190","其他开采辅助活动","B119","ALL,B,B11,B119,B1190","STD_GB_4754-2011","行业大小类","0","0",
"B12","其他采矿业","B","ALL,B,B12","STD_GB_4754-2011","行业大小类","0","0",
"B120","其他采矿业","B12","ALL,B,B12,B120","STD_GB_4754-2011","行业大小类","0","0",
"B1200","其他采矿业","B120","ALL,B,B12,B120,B1200","STD_GB_4754-2011","行业大小类","0","0",
"C","制造业","ALL","ALL,C,","STD_GB_4754-2011","行业大小类","0","0","0.00"
"C13","农副食品加工业","C","ALL,C,C13","STD_GB_4754-2011","行业大小类","0","0",
"C131","谷物磨制","C13","ALL,C,C13,C131","STD_GB_4754-2011","行业大小类","0","0",
"C1310","谷物磨制","C131","ALL,C,C13,C131,C1310","STD_GB_4754-2011","行业大小类","0","0",
"C132","饲料加工","C13","ALL,C,C13,C132","STD_GB_4754-2011","行业大小类","0","0",
"C1320","饲料加工","C132","ALL,C,C13,C132,C1320","STD_GB_4754-2011","行业大小类","0","0",
"C133","植物油加工","C13","ALL,C,C13,C133","STD_GB_4754-2011","行业大小类","0","0",
"C1331","食用植物油加工","C133","ALL,C,C13,C133,C1331","STD_GB_4754-2011","行业大小类","0","0",
"C1332","非食用植物油加工","C133","ALL,C,C13,C133,C1332","STD_GB_4754-2011","行业大小类","0","0",
"C134","制糖业","C13","ALL,C,C13,C134","STD_GB_4754-2011","行业大小类","0","0",
"C1340","制糖业","C134","ALL,C,C13,C134,C1340","STD_GB_4754-2011","行业大小类","0","0",
"C135","屠宰及肉类加工","C13","ALL,C,C13,C135","STD_GB_4754-2011","行业大小类","0","0",
"C1351","牲畜屠宰","C135","ALL,C,C13,C135,C1351","STD_GB_4754-2011","行业大小类","0","0",
"C1352","禽类屠宰","C135","ALL,C,C13,C135,C1352","STD_GB_4754-2011","行业大小类","0","0",
"C1353","肉制品及副产品加工","C135","ALL,C,C13,C135,C1353","STD_GB_4754-2011","行业大小类","0","0",
"C136","水产品加工","C13","ALL,C,C13,C136","STD_GB_4754-2011","行业大小类","0","0",
"C1361","水产品冷冻加工","C136","ALL,C,C13,C136,C1361","STD_GB_4754-2011","行业大小类","0","0",
"C1362","鱼糜制品及水产品干腌制加工","C136","ALL,C,C13,C136,C1362","STD_GB_4754-2011","行业大小类","0","0",
"C1363","水产饲料制造","C136","ALL,C,C13,C136,C1363","STD_GB_4754-2011","行业大小类","0","0",
"C1364","鱼油提取及制品制造","C136","ALL,C,C13,C136,C1364","STD_GB_4754-2011","行业大小类","0","0",
